192800;Regular;2.07;10h;javacatz2015;1483349111
192800;Midgrade;2.21;10h;javacatz2015;1483349111
192800;Premium;2.41;10h;javacatz2015;1483349111
192700;Regular;2.29;13h;taytaycrunch;1483349116
192700;Midgrade;2.49;13h;taytaycrunch;1483349116
192;Regular;2.43;13h;go_bux;1483349130
192;Midgrade;2.63;13h;go_bux;1483349130
192;Premium;2.83;13h;go_bux;1483349130
1928;Regular;2.55;1d;Deno;1483349135
192500;Regular;2.01;32m;Puckheaf;1483349147
192500;Midgrade;2.57;32m;Puckheaf;1483349147
192500;Premium;2.77;32m;Puckheaf;1483349147
192500;Diesel;2.17;32m;Puckheaf;1483349147
192800;Regular;2.07;10h;javacatz2015;1483349335
192800;Midgrade;2.21;10h;javacatz2015;1483349335
192800;Premium;2.41;10h;javacatz2015;1483349335
192700;Regular;2.29;13h;taytaycrunch;1483349343
192700;Midgrade;2.49;13h;taytaycrunch;1483349343
192;Regular;2.43;13h;go_bux;1483349346
192;Midgrade;2.63;13h;go_bux;1483349346
192;Premium;2.83;13h;go_bux;1483349346
1928;Regular;2.55;1d;Deno;1483349347
192500;Regular;2.01;36m;Puckheaf;1483349351
192500;Midgrade;2.57;36m;Puckheaf;1483349351
192500;Premium;2.77;36m;Puckheaf;1483349351
192500;Diesel;2.17;36m;Puckheaf;1483349351
192800;Regular;2.07;10h;javacatz2015;1483349651
192800;Midgrade;2.21;10h;javacatz2015;1483349651
192800;Premium;2.41;10h;javacatz2015;1483349651
192700;Regular;2.29;13h;taytaycrunch;1483349654
192700;Midgrade;2.49;13h;taytaycrunch;1483349654
192;Regular;2.43;13h;go_bux;1483349659
192;Midgrade;2.63;13h;go_bux;1483349659
192;Premium;2.83;13h;go_bux;1483349659
1928;Regular;2.55;1d;Deno;1483349664
192500;Regular;2.01;41m;Puckheaf;1483349672
192500;Midgrade;2.57;41m;Puckheaf;1483349672
192500;Premium;2.77;41m;Puckheaf;1483349672
192500;Diesel;2.17;41m;Puckheaf;1483349672
192800;Regular;2.07;10h;javacatz2015;1483349694
192800;Midgrade;2.21;10h;javacatz2015;1483349694
192800;Premium;2.41;10h;javacatz2015;1483349694
192700;Regular;2.29;13h;taytaycrunch;1483349702
192700;Midgrade;2.49;13h;taytaycrunch;1483349702
192;Regular;2.43;13h;go_bux;1483349705
192;Midgrade;2.63;13h;go_bux;1483349705
192;Premium;2.83;13h;go_bux;1483349705
1928;Regular;2.55;1d;Deno;1483349707
192500;Regular;2.01;42m;Puckheaf;1483349711
192500;Midgrade;2.57;42m;Puckheaf;1483349711
192500;Premium;2.77;42m;Puckheaf;1483349711
192500;Diesel;2.17;42m;Puckheaf;1483349711
