model;aic;r2
price~income;3007.86770334911;0.230728589110652
price~jobs;3040.4658361992;0.217895666714878
price~wage;3036.82827955082;0.216256283904694
price~population;3028.32740364205;0.221511269638628
price~percapjobs;2966.0662862279;0.239109426640343
price~income+jobs;3004.56925602763;0.239847795022472
price~income+wage;3024.22178341944;0.222374840436566
price~income+population;2996.34167480622;0.240459193295041
price~income+percapjobs;2921.72238592872;0.264814980321126
price~jobs+wage;3059.4951489926;0.214784452651376
price~jobs+population;3089.30731118056;0.210980192896699
price~jobs+percapjobs;2969.64256194597;0.239251293617334
price~wage+population;3043.61845984716;0.220130322747038
price~wage+percapjobs;2959.56803016249;0.238459064038702
price~population+percapjobs;2939.3680979769;0.253310346572646
price~income+jobs+wage;3039.2392681344;0.226051554359918
price~income+jobs+population;3050.17184714269;0.227197825024221
price~income+jobs+percapjobs;2930.67020724551;0.269513007143364
price~income+wage+population;3018.47461188436;0.235092520719145
price~income+wage+percapjobs;2942.54128906594;0.254142961615869
price~income+population+percapjobs;2926.55155018935;0.270309080687582
price~jobs+wage+population;3167.18504378073;0.177027419255248
price~jobs+wage+percapjobs;2956.03363721334;0.24919686978418
price~jobs+population+percapjobs;3122.71444123523;0.188637080382524
price~wage+population+percapjobs;2948.3783855958;0.251941451431361
price~income+jobs+wage+population;3134.8746680629;0.189300779309556
price~income+jobs+wage+percapjobs;2959.20169928061;0.256920978471632
price~income+jobs+population+percapjobs;3111.25161514034;0.195262730942046
price~income+wage+population+percapjobs;2952.00847360326;0.259809683347933
price~jobs+wage+population+percapjobs;3089.39375304689;0.200475291618211
price~income+jobs+wage+population+percapjobs;3089.17053042015;0.204525317597234
