StateID;income;jobs;wage;population;percapjobs
01;29151.3432835821;2640717;32477.5074626866;4677464;0.466804895522388
04;29172.4;3437191;37843.1333333333;6499377;0.457141133333333
05;28777.3466666667;1599446;29816;2867764;0.475861253333333
06;39603.9137931034;21063338;42031;36580371;0.534930172413793
08;37442.578125;3285413;35339.6875;4935213;0.68551278125
09;50906;2279011;49563.75;3502932;0.5941175
10;36714;553149;40921;876211;0.595088666666667
11;66316;814340;74771;590074;1.380064
12;32829.8507462687;10424100;35231.0746268657;18423878;0.460932597014925
13;28543.320754717;5571666;32105.2075471698;9697838;0.454622905660377
16;31402.5227272727;939793;31274.0227272727;1527506;0.651288568181818
17;33634.1078431373;7657328;34870.7647058823;12842954;0.500612696078431
18;32267.9347826087;3718148;34322.3586956522;6388309;0.508141217391304
19;36098.303030303;2025350;31028.7777777778;2993987;0.629948898989899
20;36549.5238095238;1875134;30490.7523809524;2797375;0.672940114285714
21;27179.2;2442252;31410.175;4287931;0.454966058333333
22;31417.578125;2576960;36715.703125;4451513;0.489918296875
23;33922.3125;840874;34415;1319691;0.5969498125
24;42520.6666666667;3471985;41997.625;5658655;0.578227708333333
25;49645.1428571429;4251139;46710.2857142857;6543595;0.671409357142857
26;29966.3614457831;5397807;34189.156626506;10002486;0.47774921686747
27;36553.3793103448;3567295;32571.0114942529;5230567;0.609041264367816
28;27165.8170731707;1558262;30705.3414634146;2940212;0.458446670731707
29;29640.4869565217;3672794;29862.8869565217;5956335;0.519193686956522
30;32210.1071428571;651425;29516.0892857143;968035;0.636013303571429
31;35910.5483870968;1253549;30502.4623655914;1781949;0.647215870967742
32;38512;1638004;43139.1764705882;2615772;0.754276176470588
33;40649.3;857040;39519.6;1321872;0.6421685
34;49751.619047619;5176293;50797.5238095238;8663398;0.581137904761905
35;30676.4848484848;1117433;33486.9696969697;1986763;0.535205090909091
36;37561.3709677419;11289001;38799.1774193548;19467789;0.528196870967742
37;31254.85;5497808;32649.99;9247134;0.50679865
38;40068.4905660377;498718;31771.9622641509;641421;0.737998452830189
39;31567.3522727273;6819050;35461.0340909091;11528072;0.510497
40;30900.3896103896;2206469;31472.8051948052;3644025;0.543321064935065
41;32504.3055555556;2339488;33975.6944444444;3782991;0.583570194444444
42;33781.223880597;7407409;35694.9850746269;12566368;0.545003104477612
44;46580.2;612258;40911;1053502;0.5853298
45;29270.6956521739;2579280;34201.8913043478;4503280;0.481634108695652
46;39603;561657;27813.696969697;790891;0.641700712121212
47;28780.8105263158;3759569;31918.9157894737;6240456;0.479311442105263
48;32320.9015748031;14469900;34176.0551181102;24304290;0.567310720472441
49;29225.2068965517;1702493;33475.5517241379;2727343;0.603780896551724
50;36286.0714285714;434917;33745.6428571429;621049;0.6301105
51;21351.0676691729;2698876;22218.8345864662;4425420;-150.069486368421
53;33974.2307692308;4012270;35446.0512820513;6566073;0.514491307692308
54;28677.3636363636;934944;33128.6363636364;1814873;0.455315963636364
55;33758.8472222222;3619782;33161.6388888889;5627610;0.592267263888889
56;47691;404855;38981.0434782609;532981;0.757797260869565
